datetime,Open,High,Low,Close,Volume
2019-09-08,10000.00000,10412.65000,10000.00000,10391.63000,3096.29100
2019-09-09,10316.62000,10475.54000,10077.22000,10307.00000,14824.37300
2019-09-10,10307.00000,10382.97000,9940.87000,10102.02000,9068.95500
2019-09-11,10094.27000,10293.11000,9884.31000,10159.55000,10897.92200
2019-09-12,10163.06000,10450.13000,10042.12000,10415.13000,15609.63400
2019-09-13,10414.96000,10440.55000,10153.51000,10341.34000,19252.72100
2019-09-14,10343.01000,10419.97000,10222.77000,10332.25000,20656.62400
2019-09-15,10333.47000,10359.20000,10024.81000,10302.22000,20536.25500
2019-09-16,10302.00000,10353.81000,10080.70000,10249.27000,20185.63700
2019-09-17,10257.30000,10270.63000,10136.77000,10186.52000,22519.60700
2019-09-18,10183.87000,10256.65000,10097.92000,10155.16000,20832.89500
2019-09-19,10154.70000,10331.62000,9530.02000,10245.30000,26228.75400
2019-09-20,10247.70000,10279.30000,10070.50000,10166.35000,23265.91000
2019-09-21,10166.56000,10175.30000,9912.63000,9983.33000,23642.38700
2019-09-22,9992.70000,10089.52000,9857.00000,10023.04000,23916.35400
2019-09-23,10027.69000,10046.91000,9620.00000,9701.96000,31927.06200
2019-09-24,9701.10000,9792.83000,8645.61000,8645.61000,29758.53500
2019-09-25,8493.32000,8725.24000,8200.00000,8430.07000,48222.10200
2019-09-26,8428.15000,8464.40000,7700.67000,8060.15000,60065.94500
2019-09-27,8061.98000,8260.00000,7851.94000,8176.52000,40034.65300
2019-09-28,8178.26000,8311.00000,8001.14000,8195.38000,33820.91900
2019-09-29,8199.00000,8226.35000,7888.98000,8041.96000,35966.05600
2019-09-30,8042.08000,8331.89000,7709.01000,8285.84000,54412.52000
2019-10-01,8285.31000,8499.00000,8171.00000,8290.00000,39212.80400
2019-10-02,8290.00000,8365.92000,8149.35000,8352.14000,30329.17900
2019-10-03,8353.40000,8386.00000,8020.00000,8220.27000,33430.23000
2019-10-04,8219.95000,8227.42000,7979.95000,8130.56000,28421.11100
2019-10-05,8130.00000,8175.00000,8010.00000,8122.14000,30262.00600
2019-10-06,8122.01000,8148.43000,7760.00000,7852.79000,41909.03900
2019-10-07,7851.01000,8330.00000,7764.42000,8186.88000,62760.29900
2019-10-08,8188.55000,8322.01000,8103.88000,8167.62000,44715.16500
2019-10-09,8168.33000,8700.00000,8113.00000,8559.77000,65453.64300
2019-10-10,8559.77000,8640.89000,8419.34000,8556.02000,44285.66800
2019-10-11,8557.00000,8788.00000,8210.00000,8255.58000,69157.96400
2019-10-12,8255.54000,8397.45000,8248.34000,8300.22000,37761.51400
2019-10-13,8300.31000,8456.00000,8137.30000,8274.66000,43820.91300
2019-10-14,8274.33000,8381.77000,8205.02000,8346.05000,61999.82100
2019-10-15,8346.31000,8408.62000,8080.00000,8160.01000,86246.74900
2019-10-16,8160.55000,8184.00000,7900.24000,7992.21000,70434.45200
2019-10-17,7994.76000,8124.63000,7930.00000,8069.20000,58354.60200
2019-10-18,8069.41000,8117.30000,7812.00000,7943.94000,75251.35200
2019-10-19,7945.57000,8108.54000,7852.12000,7947.13000,78024.39500
2019-10-20,7947.78000,8300.50000,7871.17000,8218.23000,78663.91500
2019-10-21,8218.23000,8334.57000,8150.00000,8201.74000,59928.51600
2019-10-22,8201.00000,8290.00000,8000.00000,8020.89000,69506.88000
2019-10-23,8020.68000,8047.78000,7172.76000,7465.00000,108484.13900
2019-10-24,7465.18000,7495.81000,7337.44000,7411.35000,66719.53400
2019-10-25,7410.07000,8800.00000,7359.00000,8650.00000,165118.92600
2019-10-26,8650.00000,10408.48000,8626.89000,9232.22000,248161.16100
2019-10-27,9234.75000,9803.83000,9066.07000,9533.32000,163544.01900
2019-10-28,9534.37000,9930.13000,9156.03000,9217.36000,155599.97500
2019-10-29,9215.78000,9569.10000,9070.00000,9415.02000,124703.01400
2019-10-30,9415.02000,9418.65000,8975.72000,9165.30000,98464.85800
2019-10-31,9163.40000,9438.64000,8933.00000,9150.00000,98836.04400
